@relation 'citation'
@attribute _id integer
@attribute 2000 real
@attribute 2001 real
@attribute 2002 real
@attribute 2003 real
@attribute 2004 real
@attribute 2005 real
@attribute 2006 real
@attribute 2007 real
@attribute 2008 real
@attribute 2009 real
@attribute average_average_citation real
@attribute average_citation real
@attribute average_coauthor real
@attribute average_publication real
@attribute cs_average_ranking_percentile real
@attribute journal_count_percentage real
@attribute max_average_citation real
@attribute max_citation real
@attribute max_coauthor real
@attribute max_publication real
@attribute non_cs_average_ranking_percentile real
@attribute outside_cs_percentage real
@attribute tire_1_count real
@attribute tire_1_percentage real
@attribute tire_2_count real
@attribute tire_2_percentage real
@attribute venue_average_citation real
@attribute venue_ranking_percentile real
@attribute venue_type {'Journal', 'Conference', 'Unknown'}
@attribute label {-1, 1}

@data
1343715 , 10 , 17 , 19 , 16 , 29 , 26 , 29 , 23 , 12 , 19 , 5.59952317747 , 501.0 , 300.333333333 , 59.6666666667 , 14.4081907326 , 0.326860219189 , 9.88016824062 , 1245 , 507 , 126 , 38.1188118812 , 0.0190530088663 , 18 , 0.346087290906 , 24 , 0.461449721207 , 16.7384274784 , 0.74 , Conference , 1
663782 , 13 , 11 , 12 , 8 , 9 , 13 , 12 , 3 , 3 , 4 , 6.05814287754 , 275.5 , 191.25 , 45.0 , 8.64798286326 , 0.249910746162 , 10.625986323 , 552 , 302 , 103 , 0.0 , 0.00035701535166 , 14 , 0.499821492324 , 21 , 0.749732238486 , 9.53013430223 , 2.75 , Conference , -1
286955 , 15 , 19 , 33 , 32 , 31 , 37 , 30 , 42 , 38 , 29 , 7.13571112949 , 553.666666667 , 330.666666667 , 78.0 , 9.45897822216 , 0.315025338995 , 9.90099009901 , 1608 , 713 , 223 , 2.23904688701 , 0.151261481223 , 27 , 0.369812354472 , 36 , 0.493083139296 , 4.99399829795 , 2.47 , Conference , 1
1286381 , 5 , 7 , 10 , 12 , 10 , 13 , 16 , 14 , 19 , 20 , 1.54845154845 , 15.5 , 67.0 , 5.0 , 7.97051474263 , 0.39980009995 , 3.0969030969 , 31 , 125 , 10 , 33.7263681592 , 0.0913221263062 , 11 , 0.549725137431 , 13 , 0.649675162419 , 38.8949882793 , 2.33 , Conference , -1
540919 , 9 , 8 , 7 , 8 , 17 , 7 , 6 , 9 , 3 , 10 , 2.16150655845 , 73.6666666667 , 410.333333333 , 23.3333333333 , 7.201472909 , 0.315623356128 , 3.49093374004 , 206 , 1121 , 59 , 0.0 , 0.000526038926881 , 8 , 0.420831141504 , 14 , 0.736454497633 , 15.9873940179 , 0.51 , Conference , -1
803067 , 10 , 19 , 22 , 22 , 21 , 16 , 16 , 13 , 13 , 6 , 3.46821234525 , 166.0 , 110.5 , 65.0 , 21.5977095074 , 0.272677694965 , 4.61183704842 , 272 , 194 , 117 , 8.59201141227 , 0.113046282858 , 10 , 0.181785129976 , 12 , 0.218142155972 , 22.2177226643 , 3.59 , Journal , -1
73981 , 8 , 6 , 6 , 11 , 5 , 9 , 11 , 12 , 11 , 8 , 1.33309095316 , 73.3333333333 , 160.666666667 , 18.6666666667 , 2.90923630548 , 0.279888044782 , 3.99927285948 , 220 , 457 , 55 , 0.0 , 0.000399840063974 , 15 , 0.599760095962 , 23 , 0.919632147141 , 11.0209250595 , 3.89 , Conference , -1
2072832 , 4 , 7 , 3 , 7 , 8 , 9 , 9 , 9 , 14 , 9 , 8.11349382246 , 243.0 , 345.0 , 25.0 , 12.1714066103 , 0.768639508071 , 13.8394251796 , 443 , 585 , 32 , 4.49504950495 , 0.0720913633119 , 2 , 0.153727901614 , 7 , 0.53804765565 , 21.6536379458 , 9.46 , Journal , -1
286980 , 9 , 10 , 19 , 19 , 17 , 7 , 13 , 10 , 3 , 8 , 5.89873218105 , 191.6 , 93.4 , 16.8 , 8.56172209753 , 0.285655988574 , 13.9019056545 , 496 , 147 , 44 , 0.0 , 0.000204039991838 , 15 , 0.306059987758 , 31 , 0.632523974699 , 31.1269237134 , 2.7 , Conference , -1
264 , 19 , 13 , 12 , 10 , 6 , 5 , 5 , 5 , 10 , 6 , 3.26626284194 , 170.583333333 , 628.916666667 , 42.3333333333 , 8.00255264837 , 0.233992767496 , 11.4611332115 , 1066 , 6138 , 224 , 0.0 , 0.000212720697724 , 28 , 0.595617953627 , 37 , 0.787066581578 , 25.2402139099 , 2.3 , Conference , -1
